"event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"Observation","NFS - North Fork Salmon River","06","02","Downstream Array","Upstream Array",100,NA
"Observation","KRS - SF Salmon River at Krassel Cr.","A9","A5","Downstream Array","Upstream Array",120,NA
"Observation","LGW - Lookingglass Creek Weir","01","02","Top Ladder Antenna","Bottom Ladder Antenna",100,NA
"Observation","SC4 - South Fork Clearwater Site 4","05","05","Downstream Array","Downstream Array",100,NA
"Observation","CRA - Crooked River Array","04","04","Downstream Array","Downstream Array",100,NA
"Observation","SM1 - Simcoe Creek at Stephensen Rd","02","02","Downstream Antenna","Downstream Antenna",100,NA
"Observation","MAR - Marsh Cr at Lola Cr Campground","05","02","Downstream Array","Upstream Array",100,NA
"Observation","MEM - Eightmile Acclimation Pond","B2","B2","Outlet to River","Outlet to River",100,NA
"Observation","TPJ - Tucannon at Panjab Creek","05","04","Downstream Array","Downstream Array",100,NA
"Observation","SID - Sauvie Island Dairy Creek","02","02","Upstream Array","Upstream Array",100,NA
"Observation","SCL - Spring Creek NFH Adult Ladder","03","03","LOWER ANTENNA","LOWER ANTENNA",100,NA
"Observation","GWP - Goat Wall Acclimation Pond","03","03","Downstream Antenna","Downstream Antenna",110,NA
"Observation","OKM - McIntyre Dam","02","02","Spill Bay 1","Spill Bay 1",100,NA
"Observation","WTL - White River, Wenatchee Basin","09","03","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",120,NA
"Observation","LWN - Little Wenatchee River","05","01","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",110,NA
"Observation","IML - Imnaha River Weir Adult Ladder","F2","F1","Bottom Ladder Antenna","Top Ladder Antenna",110,NA
"Observation","CEY - Cearley Creek Side Channel","03","03","Downstream Array","Downstream Array",100,NA
"Observation","SWC - Swale Creek Array","05","01","Downstream Array","Upstream Array",100,NA
"Observation","WEN - Wenaha River Mouth","03","03","Upstream Array","Upstream Array",100,NA
"Observation","KEN - Kenney Creek In-stream Arrays","02","02","Downstream Antenna","Downstream Antenna",120,NA
"Observation","RFL - Redfish Lake Creek","02","03","Instream Array","Instream Array",100,NA
"Observation","BBA - Big Bear Creek Array","02","02","Single Span","Single Span",100,NA
"Observation","LKR - Little Klickitat River Array","04","03","Downstream Array","Downstream Array",100,NA
"Observation","PCA - Panther Creek Array","05","03","Downstream Array","Upstream Array",100,NA
"Observation","S2I - Lemhi Sub-reach 2 SC Inlet","01","01","Single Antenna","Single Antenna",100,NA
"Observation","S2O - Lemhi Sub-reach 2 SC Outlet","01","01","Single Antenna","Single Antenna",100,NA
"Observation","TP2 - Toppenish Creek at Simcoe Ck","03","01","Downstream Array","Upstream Array",100,NA
"Observation","WIC - Williams Creek","02","02","Upstream array","Upstream array",100,NA
"Observation","LBS - Big Springs Creek","02","02","Downstream Antenna","Downstream Antenna",120,NA
"Observation","MDW - Mill Creek Division Works","A2","A1","Division Works Fish Ladder","Division Works Fish Ladder",100,NA
"Observation","MBD - Mill Crk Bennington Diversion","02","01","Diversion Dam Fish Ladder","Diversion Dam Fish Ladder",100,NA
"Observation","YHL - Lower Yellowhawk Creek Array ","A1","A1","Single Array","Single Array",110,NA
"Observation","LMC - Lower Manastash Creek","01","01","Upstream Array","Upstream Array",110,NA
"Observation","UMC - Upper Manastash Creek","01","02","Upstream Array","Downstream Array",100,NA
"Observation","KLR - Klickitat Riv. Floating Array","04","04","Downstream Array","Downstream Array",100,NA
